Stage,Normal Reward MIN,Normal Reward MAX,Hard Reward MIN,Hard Reward MAX,Master Reward MIN,Master Reward MAX,Reward NUM MIN,Reward NUM MAX,Reward List,,,,,,
,,,,,,,,,NormalGun,DoubleGun,MachineGun,LaserGun,EnergyCannon,HommingMissle,GranadeCannon
1,1,2,2,3,3,4,1,1,0,,,,,,
2,1,2,2,3,3,4,2,2,,0,0,,,,
3,1,2,2,3,3,4,2,2,,,,0,0,,
4,1,2,2,3,3,4,2,2,,,,,,0,0
5,2,3,3,4,4,5,1,2,0,,,0,,,
6,2,3,3,4,4,5,1,2,,0,,,0,,
7,2,3,3,4,4,5,1,2,,,0,,,0,
8,2,3,3,4,4,5,1,2,0,,,,,,0
9,2,3,3,4,4,5,1,2,,0,,,0,,
10,2,4,3,5,4,6,2,2,,,0,0,,,
11,2,4,3,5,4,6,2,3,,0,0,,0,,
12,2,4,3,5,4,6,2,3,0,,,0,,0,
13,2,4,3,5,4,6,2,3,,,0,,0,,0
14,2,4,3,5,4,6,2,3,0,0,,,,,0
15,3,4,4,5,5,6,2,3,,,0,0,,0,
16,3,4,4,5,5,6,2,3,0,,,,0,,0
17,3,4,4,5,5,6,2,3,,0,,0,,,0
18,3,4,4,5,5,6,2,3,,,0,,0,0,
19,3,4,4,5,5,6,2,3,,0,,0,,0,
20,4,5,5,6,6,7,2,4,0,,0,,0,,0
21,4,5,5,6,6,7,2,4,,0,0,,0,,0
22,4,5,5,6,6,7,2,4,0,0,,0,,0,
23,4,5,5,6,6,7,2,4,0,0,,,0,,0
24,4,5,5,6,6,7,2,4,,,0,0,,0,0
25,4,5,5,6,6,7,2,4,0,,,0,0,0,
26,4,5,5,6,6,7,2,4,0,,0,,,0,0
27,4,5,5,6,6,7,2,4,,0,,0,0,,0
28,4,5,5,6,6,7,2,4,0,,0,,0,0,
29,4,5,5,6,6,7,2,4,,0,0,0,,,0
30,5,6,6,7,7,8,3,4,0,,,0,,0,0
31,5,6,6,7,7,8,3,4,,0,0,0,,0,
32,5,6,6,7,7,8,3,4,0,0,,,0,,0
33,5,6,6,7,7,8,3,4,0,,0,0,,0,
34,5,6,6,7,7,8,3,4,,,,0,0,0,0
35,5,6,6,7,7,8,3,4,0,0,0,,0,,
36,5,6,6,7,7,8,3,4,0,,0,0,,,0
37,5,6,6,7,7,8,3,4,,0,0,,0,0,
38,5,6,6,7,7,8,3,4,,0,0,,,0,0
39,5,6,6,7,7,8,3,4,0,0,,0,0,,
40,6,7,7,8,8,9,3,5,0,,,0,0,0,0
41,6,7,7,8,8,9,3,5,0,0,,0,0,0,
42,6,7,7,8,8,9,3,5,,0,0,,0,0,0
43,6,7,7,8,8,9,3,5,0,0,,0,0,0,
44,6,7,7,8,8,9,3,5,0,,0,0,,0,0
45,6,7,7,8,8,9,3,5,,0,0,0,0,,0
46,6,7,7,8,8,9,3,5,0,,0,,0,0,0
47,6,7,7,8,8,9,3,5,0,0,,0,,0,0
48,6,7,7,8,8,9,3,5,,0,0,0,0,0,
49,6,7,7,8,8,9,3,5,0,0,0,0,,,0
50,7,8,8,9,9,10,3,6,0,0,0,,0,0,0
